shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
7-1-165,-119.480734,49.836620,10001
7-1-165,-119.480694,49.836719,10002
7-1-165,-119.480574,49.836875,10003
7-1-165,-119.480502,49.837034,10004
7-1-165,-119.480478,49.837271,10005
7-1-165,-119.480457,49.837279,10006
7-1-165,-119.480439,49.837288,10007
7-1-165,-119.480424,49.837299,10008
7-1-165,-119.480411,49.837312,10009
7-1-165,-119.480402,49.837326,10010
7-1-165,-119.480397,49.837340,10011
7-1-165,-119.480395,49.837355,10012
7-1-165,-119.480398,49.837370,10013
7-1-165,-119.480405,49.837384,10014
7-1-165,-119.480414,49.837398,10015
7-1-165,-119.480428,49.837410,10016
7-1-165,-119.480444,49.837420,10017
7-1-165,-119.480464,49.837429,10018
7-1-165,-119.480485,49.837435,10019
7-1-165,-119.480507,49.837439,10020
7-1-165,-119.480531,49.837441,10021
7-1-165,-119.480553,49.837439,10022
7-1-165,-119.480576,49.837435,10023
7-1-165,-119.480597,49.837429,10024
7-1-165,-119.480616,49.837421,10025
7-1-165,-119.480633,49.837411,10026
7-1-165,-119.480647,49.837399,10027
7-1-165,-119.480657,49.837385,10028
7-1-165,-119.480663,49.837371,10029
7-1-165,-119.480667,49.837357,10030
7-1-165,-119.480666,49.837341,10031
7-1-165,-119.480661,49.837328,10032
7-1-165,-119.480654,49.837314,10033
7-1-165,-119.480641,49.837301,10034
7-1-165,-119.480626,49.837289,10035
7-1-165,-119.480608,49.837280,10036
7-1-165,-119.480588,49.837273,10037
7-1-165,-119.480568,49.837268,10038
7-1-165,-119.480545,49.837265,10039
7-1-165,-119.480522,49.837265,10040
7-1-165,-119.480500,49.837267,10041
7-1-165,-119.480478,49.837271,10042
7-1-165,-119.480502,49.837034,10043
7-1-165,-119.480574,49.836875,10044
7-1-165,-119.480694,49.836719,10045
7-1-165,-119.480767,49.836541,10046
7-1-165,-119.480780,49.836253,10047
7-1-165,-119.480748,49.835861,10048
7-1-165,-119.480784,49.835605,10049
7-1-165,-119.480814,49.835261,10050
